"Symbol";"Value";"Unit";
"te_902188_2";".803";"";
"te_902188_1";"20.4";"";
"te_902157";"16";"";
"te_902185";"70 – 85";"";
"te_902208_2_2";"1.281";"";
"te_902193";"2.5 – 4";"";
"te_902183_2";"185";"";
"te_902208_1";"32.5";"";
"te_902183_1";"85";"";
"te_902194";"1000";"";
"te_902200_1";"6.36";"";
"series";"Potter & Brumfield T9A";"";
"te_902229_1";"27.4";"";
"SUPPLIER";"TE Connectivity";"";
"TraceParts.PartTitle";"Power Relays";"";
"REFERENCE";"2-1393210-0";"";
"te_902151";"1000";"";
"TraceParts.InstanceId";"90-17052026-0020539LKUFE4E0YEUMQZL3LWNSMAE9";"";
"te_902152";"25";"";
"te_902155";"5";"";
"Part_Number_ProductPage_URL";"https://www.te.com/usa-en/product-2-1393210-0.html?te_bu=Cor&te_type=other&te_campaign=trp_glo_buylink-pdp&elqCampaignId=29714";"";
"te_902230";"25 – 30";"";
"DESIGN";"T9AS1D12-5";"";
"te_902200_2";".25";"";
"te_902226_1";"26";"";
"te_902229_2";"1.079";"";
"TraceParts.PartNumber";"90-17052026-002053";"";
"te_902189";"25 – 30";"";
"TraceParts.PartVersion";"1.0.2";"";
"TRACEPARTS";"TRACEPARTS";"";
"te_902192_2";".125";"";
"te_902226_2";".918";"";
"te_901868";"30";"";
"te_902161";"277";"";
"te_902192_1";"3.18";"";
"te_902163";"277";"";
"te_902173";"30";"";
"te_902175";"30";"";
"te_902209";"30 – 35";"";
"te_902149_1";"800 – 1000";"";
"te_902176";"30";"";
"te_902201";"5.5 – 8";"";
"te_902203";"1500 – 2500";"";
"te_902204";"1500";"";
"TraceParts.PartLanguage";"en";"";
"te_902206";"2500";"";
"te_902174";"30";"";
